R_fighter,B_fighter,date,Winner,win_type,Favorite
Eric Schafer,Jason Brilz,3/21/2010,Blue,unanimous,Blue
Mike Pierce,Julio Paulino,3/21/2010,Red,unanimous,Red
Brendan Schaub,Chase Gormley,3/21/2010,Red,knockout,Red
John Howard,Daniel Roberts,3/21/2010,Red,knockout,Red
Duane Ludwig,Darren Elkins,3/21/2010,Blue,knockout,Red
Eliot Marshall,Vladimir Matyushenko,3/21/2010,Blue,split,Blue
Clay Guida,Shannon Gugerty,3/21/2010,Red,submission,Red
Alessio Sakara,James Irvin,3/21/2010,Red,knockout,Red
Cheick Kongo,Paul Buentello,3/21/2010,Red,knockout,Red
Junior Dos Santos,Gabriel Gonzaga,3/21/2010,Red,knockout,Red
Brandon Vera,Jon Jones,3/21/2010,Blue,knockout,Blue
Matthew Riddle,Greg Soto,3/27/2010,Red,dq,Red
Rodney Wallace,Jared Hamman,3/27/2010,Blue,unanimous,Red
Rousimar Palhares,Tomasz Drwal,3/27/2010,Red,submission,Red
Ricardo Almeida,Matt Brown,3/27/2010,Red,submission,Red
Nate Diaz,Rory Markham,3/27/2010,Red,knockout,Red
Jim Miller,Mark Bocek,3/27/2010,Red,unanimous,Red
Ben Saunders,Jon Fitch,3/27/2010,Blue,unanimous,Blue
Kurt Pellegrino,Fabricio Camoes,3/27/2010,Red,submission,Red
Frank Mir,Shane Carwin,3/27/2010,Blue,knockout,Red
Georges St-Pierre,Dan Hardy,3/27/2010,Red,unanimous,Red
Charlie Brenneman,Jason High,3/31/2010,Red,unanimous,Blue
Gerald Harris,Mario Miranda,3/31/2010,Red,knockout,Red
Yushin Okami,Lucio Linhares,3/31/2010,Red,knockout,Red
Caol Uno,Gleison Tibau,3/31/2010,Blue,knockout,Blue
Rob Emerson,Nik Lentz,3/31/2010,Blue,unanimous,Blue
Jacob Volkmann,Ronys Torres,3/31/2010,Red,split,Blue
Andre Winner,Rafaello Oliveira,3/31/2010,Red,unanimous,Red
Ross Pearson,Dennis Siver,3/31/2010,Red,unanimous,Red
Nate Quarry,Jorge Rivera,3/31/2010,Blue,knockout,Red
Roy Nelson,Stefan Struve,3/31/2010,Red,knockout,Red
Kenny Florian,Takanori Gomi,3/31/2010,Red,submission,Red
Jon Madsen,Mostapha Al-Turk,4/10/2010,Red,unanimous,Red
Paul Kelly,Matt Veach,4/10/2010,Red,submission,Blue
DaMarques Johnson,Brad Blackburn,4/10/2010,Red,knockout,Blue
Nick Osipczak,Rick Story,4/10/2010,Blue,split,Blue
Alexander Gustafsson,Phil Davis,4/10/2010,Blue,submission,Blue
Kendall Grove,Mark Munoz,4/10/2010,Blue,knockout,Blue
Terry Etim,Rafael Dos Anjos,4/10/2010,Blue,submission,Red
Matt Hughes,Renzo Gracie,4/10/2010,Red,knockout,Red
BJ Penn,Frankie Edgar,4/10/2010,Blue,unanimous,Red
Anderson Silva,Demian Maia,4/10/2010,Red,unanimous,Red
Jason MacDonald,John Salter,5/8/2010,Blue,knockout,Red
Yoshiyuki Yoshida,Mike Guymon,5/8/2010,Blue,unanimous,Red
Joey Beltran,Tim Hague,5/8/2010,Red,unanimous,Blue
TJ Grant,Johny Hendricks,5/8/2010,Blue,split,Blue
Marcus Davis,Jonathan Goulet,5/8/2010,Red,knockout,Red
Tom Lawlor,Joe Doerksen,5/8/2010,Blue,submission,Red
Patrick Cote,Alan Belcher,5/8/2010,Blue,submission,Blue
Kevin Ferguson,Matt Mitrione,5/8/2010,Blue,knockout,Blue
Sam Stout,Jeremy Stephens,5/8/2010,Blue,split,Red
Josh Koscheck,Paul Daley,5/8/2010,Red,unanimous,Red
Lyoto Machida,Mauricio Rua,5/8/2010,Blue,knockout,Red
Jesse Forbes,Ryan Jensen,5/29/2010,Blue,submission,Red
Aaron Riley,Joe Brammer,5/29/2010,Red,unanimous,Red
Luiz Cane,Cyrille Diabate,5/29/2010,Blue,knockout,Red
Melvin Guillard,Waylon Lowe,5/29/2010,Red,knockout,Red
Efrain Escudero,Dan Lauzon,5/29/2010,Red,unanimous,Red
Amir Sadollah,Dong Hyun Kim,5/29/2010,Blue,unanimous,Blue
Diego Sanchez,John Hathaway,5/29/2010,Blue,unanimous,Red
Jason Brilz,Rogerio Nogueira,5/29/2010,Blue,split,Blue
Todd Duffee,Mike Russow,5/29/2010,Blue,knockout,Red
Michael Bisping,Dan Miller,5/29/2010,Red,unanimous,Red
Rampage Jackson,Rashad Evans,5/29/2010,Blue,unknown,Red
Mike Pyle,Jesse Lennox,6/12/2010,Red,submission,Blue
Ricardo Funch,Claude Patrick,6/12/2010,Blue,submission,Blue
James Wilks,Peter Sobotta,6/12/2010,Red,unanimous,Red
David Loiseau,Mario Miranda,6/12/2010,Blue,knockout,Blue
Mac Danzig,Matt Wiman,6/12/2010,Blue,submission,Blue
Tyson Griffin,Evan Dunham,6/12/2010,Blue,split,Red
Carlos Condit,Rory MacDonald,6/12/2010,Red,knockout,Blue
Ben Rothwell,Gilbert Yvel,6/12/2010,Red,unanimous,Blue
Paulo Thiago,Martin Kampmann,6/12/2010,Blue,unanimous,Red
Mirko Cro Cop,Pat Barry,6/12/2010,Red,unknown,Blue
Chuck Liddell,Rich Franklin,6/12/2010,Blue,knockout,Red
James McSweeney,Travis Browne,6/19/2010,Blue,knockout,Blue
Chris Camozzi,James Hammortree,6/19/2010,Red,unanimous,Red
Josh Bryant,Kyle Noke,6/19/2010,Blue,knockout,Blue
Brad Tavares,Seth Baczynski,6/19/2010,Red,unanimous,Red
John Gunderson,Mark Holst,6/19/2010,Red,unanimous,Red
Jamie Yager,Rich Attonito,6/19/2010,Blue,knockout,Blue
Spencer Fisher,Dennis Siver,6/19/2010,Blue,unanimous,Red
Chris Leben,Aaron Simpson,6/19/2010,Red,knockout,Blue
Keith Jardine,Matt Hamill,6/19/2010,Blue,split,Blue
Court McGee,Kris McCray,6/19/2010,Red,submission,Red
Jon Madsen,Karlos Vemola,7/3/2010,Red,unanimous,Blue
Forrest Petz,Daniel Roberts,7/3/2010,Blue,split,Blue
Gerald Harris,David Branch,7/3/2010,Red,knockout,Red
Kendall Grove,Goran Reljic,7/3/2010,Red,split,Blue
Seth Petruzelli,Ricardo Romero,7/3/2010,Blue,submission,Blue
Brendan Schaub,Chris Tuchscherer,7/3/2010,Red,knockout,Red
George Sotiropoulos,Kurt Pellegrino,7/3/2010,Red,unanimous,Red
Krzysztof Soszynski,Stephan Bonnar,7/3/2010,Blue,knockout,Red
Chris Lytle,Matt Brown,7/3/2010,Red,submission,Red
Chris Leben,Yoshihiro Akiyama,7/3/2010,Red,submission,Blue
Brock Lesnar,Shane Carwin,7/3/2010,Red,submission,Red
Rob Kimmons,Steve Steinbeiss,8/1/2010,Red,unanimous,Red
Darren Elkins,Charles Oliveira,8/1/2010,Blue,submission,Blue
Brian Stann,Mike Massenzio,8/1/2010,Red,submission,Blue
James Irvin,Igor Pokrajac,8/1/2010,Blue,submission,Red
DaMarques Johnson,Matthew Riddle,8/1/2010,Blue,knockout,Blue
Paul Kelly,Jacob Volkmann,8/1/2010,Blue,unanimous,Blue
Tyson Griffin,Takanori Gomi,8/1/2010,Blue,knockout,Red
John Howard,Jake Ellenberger,8/1/2010,Blue,knockout,Blue
Mark Munoz,Yushin Okami,8/1/2010,Blue,split,Blue
Jon Jones,Vladimir Matyushenko,8/1/2010,Red,knockout,Red
Ben Saunders,Dennis Hallman,8/7/2010,Blue,unanimous,Red
Stefan Struve,Christian Morecraft,8/7/2010,Red,knockout,Red
Todd Brown,Tim Boetsch,8/7/2010,Blue,unanimous,Blue
Johny Hendricks,Charlie Brenneman,8/7/2010,Red,knockout,Red
Rodney Wallace,Phil Davis,8/7/2010,Blue,unanimous,Blue
Dustin Hazelett,Rick Story,8/7/2010,Blue,knockout,Red
Roy Nelson,Junior Dos Santos,8/7/2010,Blue,unanimous,Blue
Matt Hughes,Ricardo Almeida,8/7/2010,Red,submission,Blue
Clay Guida,Rafael Dos Anjos,8/7/2010,Red,submission,Blue
Jon Fitch,Thiago Alves,8/7/2010,Red,unanimous,Blue
Anderson Silva,Chael Sonnen,8/7/2010,Red,submission,Red
Mike Pierce,Amilcar Alves,8/28/2010,Red,submission,Red
Nick Osipczak,Greg Soto,8/28/2010,Blue,unanimous,Red
Dan Miller,John Salter,8/28/2010,Red,submission,Red
Andre Winner,Nik Lentz,8/28/2010,Blue,unanimous,Red
Joe Lauzon,Gabe Ruediger,8/28/2010,Red,submission,Red
Nate Diaz,Marcus Davis,8/28/2010,Red,submission,Red
Kenny Florian,Gray Maynard,8/28/2010,Blue,unanimous,Red
Demian Maia,Mario Miranda,8/28/2010,Red,unanimous,Red
Randy Couture,James Toney,8/28/2010,Red,submission,Red
Frankie Edgar,BJ Penn,8/28/2010,Red,unanimous,Blue
Brian Foster,Forrest Petz,9/15/2010,Red,knockout,Red
TJ Waldburger,David Mitchell,9/15/2010,Red,unanimous,Blue
Rich Attonito,Rafael Natal,9/15/2010,Red,unanimous,Blue
Tomasz Drwal,David Branch,9/15/2010,Blue,unanimous,Red
