red fighter,red fighter initial elo,blue fighter,blue fighter initial elo,date,winner,win_type,red fighter new elo,blue fighter new elo,favorite
Joe Solecki,2133,Jared Gordon,2211,2021-10-02,Blue,split,2156,2312,Red
Uros Medic,1249,Jalin Turner,1556,2021-09-25,Blue,submission,1271,1657,Red
Nate Maness,1874,Tony Gravely,1781,2021-09-18,Red,knockout,2109,1748,Blue
Derek Brunson,3265,Darren Till,2652,2021-09-04,Red,submission,3366,2753,Blue
Modestas Bukauskas,1564,Khalil Rountree Jr.,1973,2021-09-04,Blue,knockout,1634,2074,Red
Jamall Emmers,1293,Pat Sabatini,1374,2021-08-28,Blue,submission,1255,1684,Red
Makhmud Muradov,2182,Gerald Meerschaert,2983,2021-08-28,Blue,submission,2279,3084,Red
Vince Morales,1359,Drako Rodriguez,959,2021-08-07,Red,unanimous,1460,1033,Even
Song Yadong,2592,Casey Kenney,2468,2021-08-07,Red,split,2693,2569,Blue
Michael Chiesa,2686,Vicente Luque,2762,2021-08-07,Blue,submission,2786,2864,Red
Jose Aldo,3363,Pedro Munhoz,2813,2021-08-07,Red,unanimous,3464,2914,Blue
Chris Gruetzemacher,1718,Rafa Garcia,1101,2021-07-31,Red,unanimous,1819,1194,Blue
Punahele Soriano,1801,Brendan Allen,2450,2021-07-24,Blue,unanimous,1897,2551,Even
Mickey Gall,2232,Jordan Williams,950,2021-07-24,Red,submission,2333,1051,Blue
Miranda Maverick,1941,Maycee Barber,2087,2021-07-24,Blue,split,1981,2188,Red
Darren Elkins,3347,Darrick Minner,1683,2021-07-24,Red,knockout,3448,1784,Blue
Cory Sandhagen,2816,TJ Dillashaw,2896,2021-07-24,Blue,split,2917,2997,Red
Irene Aldana,2075,Yana Kunitskaya,1873,2021-07-10,Red,knockout,2176,1974,Blue
Gilbert Burns,2879,Stephen Thompson,2756,2021-07-10,Red,unanimous,2980,2857,Blue
Casey O'Neill,1463,Lara Procopio,1348,2021-06-19,Red,submission,1748,1326,Blue
