red fighter,red fighter initial elo,blue fighter,blue fighter initial elo,date,winner,win_type,red fighter new elo,blue fighter new elo,favorite
Bethe Correia,2290,Karol Rosa,1412,2021-10-02,Blue,unanimous,2390,1713,Blue
Alex Oliveira,3718,Niko Price,3016,2021-10-02,Blue,unanimous,3818,3118,Blue
Stephanie Egger,1054,Shanna Young,1099,2021-10-02,Red,knockout,1461,894,Red
Antonina Shevchenko,1984,Casey O'Neill,1748,2021-10-02,Blue,knockout,2084,2137,Blue
Misha Cirkunov,2647,Krzysztof Jotko,2606,2021-10-02,Blue,split,2747,2708,Blue
Roxanne Modafferi,1902,Taila Santos,1736,2021-09-25,Blue,unanimous,2002,1982,Blue
Marlon Moraes,2914,Merab Dvalishvili,1800,2021-09-25,Blue,knockout,3013,1903,Blue
Alexander Volkanovski,2581,Brian Ortega,3220,2021-09-25,Red,unanimous,2683,3320,Red
Curtis Blaydes,2769,Jairzinho Rozenstruik,3106,2021-09-25,Red,unanimous,2871,3206,Red
Mike Rodriguez,1894,Tafon Nchukwi,1193,2021-09-18,Blue,unanimous,1994,1492,Blue
Arman Tsarukyan,1802,Christos Giagos,1969,2021-09-18,Red,knockout,2165,2069,Red
Ion Cutelaba,2173,Devin Clark,2283,2021-09-18,Red,unanimous,2275,2383,Red
Anthony Smith,2666,Ryan Spann,2741,2021-09-18,Red,submission,2768,2841,Red
Dalcha Lungiambula,1597,Marc-Andre Barriault,1531,2021-09-04,Blue,unanimous,1579,1633,Blue
Dustin Jacoby,1726,Darren Stewart,2012,2021-08-28,Red,knockout,1829,2111,Red
Sam Alvey,3699,Wellington Turman,1356,2021-08-28,Blue,split,3799,1458,Blue
Clay Guida,3577,Mark Madsen,1557,2021-08-21,Blue,split,3677,1859,Blue
Jared Cannonier,2398,Kelvin Gastelum,3660,2021-08-21,Red,unanimous,2500,3760,Red
Johnny Munoz,950,Jamey Simmons,1095,2021-08-07,Red,submission,1429,818,Red
Miles Johns,1378,Anderson Dos Santos,1383,2021-08-07,Red,knockout,1663,1300,Red
Alonzo Menifield,2123,Ed Herman,3189,2021-08-07,Red,unanimous,2225,3289,Red
Bobby Green,3244,Rafael Fiziev,2256,2021-08-07,Blue,unanimous,3344,2358,Blue
Derrick Lewis,3451,Ciryl Gane,2273,2021-08-07,Blue,knockout,3550,2376,Blue
Uriah Hall,3050,Sean Strickland,2710,2021-07-31,Blue,unanimous,3150,2812,Blue
