Fighter,Current ELO
Tamdan McCrory,1475
Ben Askren,1474
Michael Chandler,1473
Jiri Prochazka,1472
Brandon Moreno,1470
Saidyokub Kakhramonov,1469
Alexander Hernandez,1467
Terrance McKinney,1466
Brendan Allen,1459
Justin Gaethje,1456
Brian Kelleher,1455
Jack Marshman,1455
Josh Thomson,1452
Jeremiah Wells,1452
Brian Ortega,1451
Paul Craig,1449
Jamie Varner,1447
Conor McGregor,1445
Ryan Jimmo,1445
Khama Worthy,1438
Cain Velasquez,1434
Brian Melancon,1432
Bobby Green,1430
Lerone Murphy,1430
Jacare Souza,1426
Felicia Spencer,1425
Khaos Williams,1424
Amanda Ribas,1424
Vinny Magalhaes,1422
Mayra Bueno Silva,1421
Henrique da Silva,1421
Johnny Walker,1419
Khalid Murtazaliev,1419
Robbie Lawler,1417
Jan Blachowicz,1415
Piotr Hallmann,1415
Shavkat Rakhmonov,1413
Curtis Millender,1412
Niklas Backstrom,1410
Mike Grundy,1407
Glover Teixeira,1407
James Vick,1406
Ludovit Klein,1404
Nathaniel Wood,1402
Josiane Nunes,1402
Dmitry Sosnovskiy,1400
Luke Sanders,1399
Zhang Weili,1398
Ismail Naurdiev,1394
Jake Hecht,1392
Peter Yan,1391
Donald Cerrone,1387
Charles Oliveira,1385
Humberto Bandenay,1385
Jake Ellenberger,1385
Brock Lesnar,1385
Nate Marquardt,1385
CB Dollaway,1385
Shane Roller,1385
Omari Akhmedov,1385
Germaine De Randamie,1384
Mounir Lazzez,1384
Dan Henderson,1382
Daniel Rodriguez,1379
Ricky Glenn,1379
Vincente Luque,1375
Sean Pierson,1375
Casey Kenney,1375
Gadzhimurad Antigulov,1374
Eryk Anders,1373
Jorge Masvidal,1372
Ramazan Emeev,1372
Michal Oleksiejczuk,1370
Tom Duquesnoy,1368
Ian Heinisch,1368
Chan Sung Jung,1366
Teruto Ishihara,1366
Maryna Moroz,1366
Che Mills,1366
Cole Miller,1366
Bryan Barberena,1366
Kevin Aguilar,1365
Desmond Green,1365
Josh Barnett,1360
Tarec Saffiedine,1360
Minotauro Nogueira,1358
Bobby Moffett,1358
Daniel Cormier,1358
Michel Pereira,1358
Calvin Kattar,1357
Roan Carneiro,1357
Tristan Connelly,1356
Pat Sabatini,1355
Joe Solecki,1353
Kevin Souza,1353
Adriano Martins,1352
Ilia Topuria,1352
Daniel Kelly,1351
Maiquel Falcao,1351
Rob Font,1350
Kalinn Williams,1349
Yoel Romero,1349
Jordan Leavitt,1349
Thales Leites,1349
Edmen Shahbazyan,1347
Da-Un Jung,1347
Brandon Thatch,1345
Miles Johns,1344
Rodolfo Vieira,1343
Ryan Bader,1342
Kamuela Kirk,1342
Carlston Harris,1341
Aspen Ladd,1341
Volkan Oezdemir,1340
Jonathan Wilson,1339
Igor Araujo,1339
Will Brooks,1339
Andre Ewell,1337
Hacran Dias,1335
Josh Emmett,1334
James Krause,1330
Kevin Croom,1328
Brianna Van Buren,1326
William Knight,1325
Erik Perez,1324
Dustin Kimura,1323
Omar Morales,1323
Junior Albini,1322
Cory McKenna,1321
George Sotiropoulos,1321
Gray Maynard,1321
Andrew Craig,1321
Paul Felder,1321
Jose Aldo,1321
Brian Ebersole,1321
Lauren Mueller,1321
Chris Weidman,1321
Forrest Griffin,1321
Nick Diaz,1320
Masanori Kanehara,1319
Alex Morono,1317
Alexander Volkov,1316
Cole Smith,1313
Antonina Shevchenko,1312
Phillipe Nover,1312
Makhmud Muradov,1310
Wilson Reis,1306
Dominick Cruz,1305
Phil Hawes,1305
Rogerio Nogueira,1305
Carlo Prater,1305
Sean Sherk,1305
Ryan LaFlare,1305
Joseph Benavidez,1305
Jake Shields,1305
Kyle Kingsbury,1305
Colby Covington,1305
Yves Edwards,1305
Tom Niinimaki,1304
Andrei Arlovski,1304
Philip De Fries,1304
Louis Smolka,1303
Chris Kelades,1303
Holly Holm,1302
Justin Jaynes,1301
Kron Gracie,1298
Wang Guan,1296
Hyun Gyu Lim,1295
Mike Perry,1294
Isaac Vallie-Flagg,1294
Karolina Kowalkiewicz,1292
Emil Meek,1291
Jimmy Crute,1290
Aleksandar Rakic,1289
Magomed Mustafaev,1289
Derek Brunson,1287
Gregor Gillespie,1287
Magomed Bibulatov,1287
Mason Jones,1286
Francis Carmont,1285
Askar Askarov,1284
Shamil Gamzatov,1284
Mizuki Inoue,1277
Jordan Mein,1276
Kazuki Tokudome,1275
Aiemann Zahabi,1275
Youssef Zalal,1274
Takashi Sato,1270
Alan Jouban,1269
Giga Chikadze,1269
Shane Burgos,1265
Stanislav Nedkov,1260
Michinori Tanaka,1260
Alekander Volkov,1259
Aleksei Kunchenko,1259
John Maguire,1259
Jordan Espinosa,1258
Benson Henderson,1256
Deiveson Figueiredo,1255
Andrew Holbrook,1255
Tom Aspinall,1254
Dominick Reyes,1254
Keita Nakamura,1253
Ottman Azaitar,1252
Lance Benoist,1252
Aleksa Camur,1252
Sage Northcutt,1250
Brandon Royval,1249
Cynthia Calvillo,1249
Levan Makashvili,1247
Sijara Eubanks,1243
Yorgan De Castro,1241
Sodiq Yusuff,1241
Kamaru Usman,1241
Don Madge,1241
Nick Pace,1241
Tatiana Suarez,1241
Roy Nelson,1241
Claude Patrick,1241
Alexandr Romanov,1241
Rich Attonito,1241
Erik Koch,1241
Gleison Tibau,1241
Juan Espino,1241
Luis Pena,1241
Chris Wade,1241
Josh Neer,1241
Stephan Bonnar,1241
Justin Lawrence,1241
Joe Proctor,1241
Tony Ferguson,1241
Matt Hughes,1241
Court McGee,1241
Pablo Garza,1241
Travis Browne,1241
Erick Silva,1241
Ricardo Romero,1241
Daniel Omielanczuk,1241
Carla Esparza,1241
Kenny Florian,1241
Cat Zingano,1241
John Albert,1241
Russell Doane,1241
Mike Pyle,1241
Tony Sims,1241
David Teymur,1241
Elias Theodorou,1241
Christian Aguilera,1241
Brian Stann,1241
Bryan Caraway,1241
Maurice Greene,1241
Marcos Rogerio de Lima,1241
Myles Jury,1241
Dave Herman,1241
Diego Brandao,1241
Gillian Robertson,1241
Alberto Mina,1241
Rob Broughton,1241
Matt Mitrione,1241
Reza Madadi,1241
Henry Briones,1241
Sam Sicilia,1241
Cody McKenzie,1241
Francis Ngannou,1241
Alan Belcher,1241
Cheick Kongo,1241
Mara Romero Borella,1241
Corey Anderson,1241
Jon Jones,1241
Walel Watson,1241
Yushin Okami,1241
Marcos Vinicius,1241
Macy Chiasson,1241
Alessio Sakara,1241
Phillip Hawes,1241
