Fighter,Current ELO
Michael Chandler,1041
Ben Askren,1040
Brandon Moreno,1037
Brian Kelleher,1037
Shavkat Rakhmonov,1036
Alexander Hernandez,1036
Jeremiah Wells,1036
Tamdan McCrory,1036
Jamie Varner,1035
Vinny Magalhaes,1035
Jiri Prochazka,1035
Brian Ortega,1035
Ryan Jimmo,1035
Jack Marshman,1035
Khaos Williams,1035
Jacare Souza,1035
Josh Thomson,1035
Brian Melancon,1034
Daniel Rodriguez,1034
Bobby Green,1034
Piotr Hallmann,1034
Lerone Murphy,1034
Justin Gaethje,1034
Paul Craig,1033
Mayra Bueno Silva,1033
Brendan Allen,1033
Glover Teixeira,1033
Conor McGregor,1033
Johnny Walker,1033
Khama Worthy,1033
Saidyokub Kakhramonov,1033
Gadzhimurad Antigulov,1033
Jake Hecht,1032
Donald Cerrone,1032
Jan Blachowicz,1032
Josiane Nunes,1032
Adriano Martins,1032
Luke Sanders,1032
Robbie Lawler,1032
Mike Perry,1032
Ricky Glenn,1032
Omari Akhmedov,1031
Ludovit Klein,1031
Cain Velasquez,1031
Charles Oliveira,1031
Humberto Bandenay,1031
Shane Roller,1031
Michel Pereira,1031
Cody Garbrandt,1031
Mike Grundy,1031
Terrance McKinney,1031
Eryk Anders,1031
CB Dollaway,1031
Jake Ellenberger,1031
Michal Oleksiejczuk,1031
Jordan Mein,1031
Magomed Mustafaev,1031
Henrique da Silva,1031
Nate Marquardt,1031
James Krause,1031
Brock Lesnar,1031
Alan Jouban,1031
Niklas Backstrom,1030
Che Mills,1030
Cole Miller,1030
Bryan Barberena,1030
Felicia Spencer,1030
Jimi Manuwa,1030
Chan Sung Jung,1030
Teruto Ishihara,1030
Rodolfo Vieira,1030
Curtis Millender,1030
Roan Carneiro,1030
Maryna Moroz,1030
Issei Tamura,1030
Hyun Gyu Lim,1030
Petr Yan,1030
Jordan Leavitt,1030
Dustin Kimura,1030
Brandon Thatch,1030
Tom Duquesnoy,1029
Kurt Pellegrino,1029
Mike Easton,1029
Cory Sandhagen,1029
Court McGee,1029
Joe Doerksen,1029
Ricardo Almeida,1029
Francis Ngannou,1029
Sean McCorkle,1029
Carla Esparza,1029
Russell Doane,1029
Walel Watson,1029
Rodrigo Nascimento,1029
Shana Dobson,1029
Mike Pyle,1029
Soa Palelei,1029
Darren Elkins,1029
Erik Koch,1029
Maycee Barber,1029
Daniel Omielanczuk,1029
Gerald Harris,1029
DaMarques Johnson,1029
Melsik Baghdasaryan,1029
Dmitry Sosnovskiy,1029
Polyana Viana,1029
Adrian Yanez,1029
Tatsuya Kawajiri,1029
Cody McKenzie,1029
Mickey Gall,1029
Josh Neer,1029
Macy Chiasson,1029
Roy Nelson,1029
Don Madge,1029
Corey Anderson,1029
James Vick,1029
Kron Gracie,1029
Alessio Sakara,1029
Scott Jorgensen,1029
Alan Patrick,1029
Francisco Trinaldo,1029
Jason Saggo,1029
Aspen Ladd,1029
Joe Lauzon,1029
Pablo Garza,1029
Mara Romero Borella,1029
Nate Diaz,1029
John Howard,1029
Jake Matthews,1029
Aleksei Oleinik,1029
Sam Sicilia,1029
Paul Kelly,1029
Zabit Magomedsharipov,1029
Mackens Semerzier,1029
Tony Sims,1029
Diego Brandao,1029
Kay Hansen,1029
Rousimar Palhares,1029
Danny Roberts,1029
Matt Mitrione,1029
Anthony Perosh,1029
Warlley Alves,1029
Stephen Thompson,1029
Hector Urbina,1029
Erick Silva,1029
Rob Broughton,1029
Matt Hughes,1029
Jon Jones,1029
Billy Quarantillo,1029
Alan Belcher,1029
Shawn Jordan,1029
Antonio Braga Neto,1029
Travis Browne,1029
Islam Makhachev,1029
Brian Stann,1029
Martin Bravo,1029
Manon Fiorot,1029
Trevin Giles,1029
Justin Lawrence,1029
Aisling Daly,1029
Marcus Davis,1029
Marcos Vinicius,1029
Brian Bowles,1029
Chris Wade,1029
Carlos Condit,1029
Cathal Pendred,1029
Montana De La Rosa,1029
Ricardo Romero,1029
Dricus Du Plessis,1029
Chris Leben,1029
Phil Rowe,1029
Mike Russow,1029
Thiago Perpetuo,1029
Daniel Pineda,1029
Chris Beal,1029
Junior Dos Santos,1029
Jimmy Flick,1029
Justin Scoggins,1029
Herbert Burns,1029
Joe Proctor,1029
Bryan Caraway,1029
Carlston Harris,1029
Sage Northcutt,1029
Brendan Schaub,1029
Paige VanZant,1029
Dominick Reyes,1029
Lyman Good,1029
Felice Herrig,1029
Mark Hominick,1029
Cyrille Diabate,1029
Yushin Okami,1029
Rodrigo Damm,1029
Clint Hester,1029
Melvin Guillard,1029
Phil Davis,1029
Kyle Noke,1029
Phillip Hawes,1029
Stanislav Nedkov,1029
Ivan Menjivar,1029
Dalcha Lungiambula,1029
Yorgan De Castro,1029
Thiago Tavares,1029
John Dodson,1029
Chris Daukaus,1029
Rich Attonito,1029
Khalid Murtazaliev,1029
Josh Samman,1029
Luis Pena,1029
Juan Espino,1029
Alexandr Romanov,1029
Mauricio Rua,1029
John Albert,1029
Claude Patrick,1029
John Moraga,1029
Rachael Ostovich,1029
Jimmy Crute,1029
Rafael Dos Anjos,1029
Jared Gordon,1029
Chris Holdsworth,1029
Misha Cirkunov,1029
Dan Hooker,1029
John Cholish,1029
Roland Delorme,1029
Spike Carlyle,1029
Kamaru Usman,1029
Matt Wiman,1029
Johnny Bedford,1029
Nick Pace,1029
Alex Garcia,1029
Jose Torres,1029
Tor Troeng,1029
Lavar Johnson,1029
Reza Madadi,1029
Cat Zingano,1029
Rustam Khabilov,1029
Ronda Rousey,1029
Mark Munoz,1029
Bea Malecki,1029
Alistair Overeem,1029
Clay Guida,1029
Stephan Bonnar,1029
Trevin Jones,1029
Elias Theodorou,1029
Erik Perez,1029
Gleison Tibau,1029
Ricardo Abreu,1029
Jorge Rivera,1029
Gillian Robertson,1029
Tony Ferguson,1029
Eddie Gordon,1029
Alonzo Menifield,1029
Ed Herman,1029
Henry Briones,1029
Song Yadong,1029
Cheick Kongo,1029
Alberto Mina,1029
Michael Chiesa,1029
Ryan Jensen,1029
Randy Couture,1029
Derrick Lewis,1029
Tatiana Suarez,1029
Shane Carwin,1029
Amir Albazi,1029
Julianna Pena,1029
Umar Nurmagomedov,1029
John Salter,1029
Charles Byrd,1029
Sodiq Yusuff,1029
Nathaniel Wood,1029
Tiequan Zhang,1029
Modestas Bukauskas,1029
David Teymur,1029
Abdul Razak Alhassan,1029
Rich Franklin,1029
Simeon Thoresen,1029
Marcos Rogerio de Lima,1029
Maurice Greene,1029
Sasha Palatnikov,1029
Myles Jury,1029
Ali Bagautinov,1029
Sara McMann,1029
Ricardo Lamas,1029
Dave Herman,1029
Edson Barboza,1029
Dylan Andrews,1029
Bryan Battle,1029
Kenny Florian,1029
Amanda Ribas,1029
Fredy Serrano,1029
Christian Aguilera,1029
Andre Petroski,1029
Yoel Romero,1028
Jonathan Wilson,1028
Tyron Woodley,1028
Ottman Azaitar,1028
Rob Font,1028
Jimmie Rivera,1028
Alexander Volkanovski,1028
Devonte Smith,1028
Tom Breese,1028
Paddy Pimblett,1028
Tom Aspinall,1028
Abel Trujillo,1028
Siyar Bahadurzada,1028
Cynthia Calvillo,1028
Mike Swick,1028
Casey O'Neill,1028
Punahele Soriano,1028
Raoni Barcelos,1028
Daniel Kelly,1028
Israel Adesanya,1027
Josh Barnett,1027
Johnny Case,1027
Ronnie Lawrence,1027
Ben Nguyen,1027
Darko Stosic,1027
Brian Foster,1027
Ildemar Alcantara,1027
Juan Adams,1027
Alex Perez,1027
Arnold Allen,1027
Jack Shore,1027
Cody Donovan,1027
Niko Price,1027
Tyson Pedro,1027
Gokhan Saki,1027
Mallory Martin,1027
Paul Sass,1027
Viviane Araujo,1027
Khabib Nurmagomedov,1027
Marcel Fortuna,1027
Roosevelt Roberts,1027
Justin Jaynes,1027
Karl Roberson,1027
Ricky Simon,1027
Michelle Waterson,1027
Jairzinho Rozenstruik,1027
Scott Holtzman,1027
Mike Rio,1026
Nick Denis,1026
