red fighter,red fighter initial elo,blue fighter,blue fighter initial elo,date,winner,win_type,red fighter new elo,blue fighter new elo,favorite
Thiago Santos,3392,Johnny Walker,2603,2021-10-02,Red,unanimous,3493,2704,Red
Bethe Correia,2290,Karol Rosa,1412,2021-10-02,Blue,unanimous,2390,1713,Blue
Alex Oliveira,3718,Niko Price,3016,2021-10-02,Blue,unanimous,3818,3118,Blue
Alejandro Perez,2211,Johnny Eduardo,2050,2021-10-02,Red,submission,2313,2150,Red
Stephanie Egger,1054,Shanna Young,1099,2021-10-02,Red,knockout,1461,894,Red
Devonte Smith,1662,Jamie Mullarkey,1412,2021-10-02,Blue,knockout,1471,1805,Red
Douglas Silva de Andrade,2093,Gaetano Pirrello,1100,2021-10-02,Red,knockout,2194,1199,Red
Antonina Shevchenko,1984,Casey O'Neill,1748,2021-10-02,Blue,knockout,2084,2137,Blue
Joe Solecki,2133,Jared Gordon,2211,2021-10-02,Blue,split,2156,2312,Red
Alexander Hernandez,2737,Mike Breeden,1000,2021-10-02,Red,knockout,2838,1101,Red
Misha Cirkunov,2647,Krzysztof Jotko,2606,2021-10-02,Blue,split,2747,2708,Blue
Dan Hooker,2978,Nasrat Haqparast,2356,2021-09-25,Red,unanimous,3079,2457,Red
Jonathan Pearce,1396,Omar Morales,1656,2021-09-25,Red,submission,1793,1461,Blue
Matthew Semelsberger,1732,Martin Sano,1000,2021-09-25,Red,knockout,1838,1093,Red
Cody Brundage,1000,Nick Maximov,1000,2021-09-25,Blue,unanimous,950,1252,Blue
Roxanne Modafferi,1902,Taila Santos,1736,2021-09-25,Blue,unanimous,2002,1982,Blue
Shamil Abdurakhimov,2001,Chris Daukaus,2206,2021-09-25,Blue,knockout,2102,2392,Blue
Uros Medic,1249,Jalin Turner,1556,2021-09-25,Blue,submission,1271,1657,Red
Marlon Moraes,2914,Merab Dvalishvili,1800,2021-09-25,Blue,knockout,3013,1903,Blue
Alexander Volkanovski,2581,Brian Ortega,3220,2021-09-25,Red,unanimous,2683,3320,Red
Curtis Blaydes,2769,Jairzinho Rozenstruik,3106,2021-09-25,Red,unanimous,2871,3206,Red
Nick Diaz,1554,Robbie Lawler,3212,2021-09-25,Blue,knockout,1655,3313,Blue
Valentina Shevchenko,2933,Lauren Murphy,1954,2021-09-25,Red,knockout,3034,2055,Red
Jessica Andrade,2969,Cynthia Calvillo,2176,2021-09-25,Red,knockout,3070,2277,Red
Pannie Kianzad,1655,Raquel Pennington,2181,2021-09-18,Blue,unanimous,1756,2282,Blue
Emily Whitmire,1331,Hannah Goldy,888,2021-09-18,Blue,submission,1430,1325,Red
Impa Kasanganay,1452,Carlston Harris,1598,2021-09-18,Blue,knockout,1444,1862,Blue
Erin Blanchfield,1000,Sarah Alpar,1092,2021-09-18,Red,unanimous,1290,1004,Red
Montel Jackson,2189,JP Buys,816,2021-09-18,Red,unanimous,2290,917,Red
Rong Zhu,931,Brandon Jenkins,1000,2021-09-18,Red,knockout,1356,777,Even
Joaquin Buckley,1891,Antonio Arroyo,1041,2021-09-18,Red,knockout,1992,1139,Red
Mike Rodriguez,1894,Tafon Nchukwi,1193,2021-09-18,Blue,unanimous,1994,1492,Blue
Nate Maness,1874,Tony Gravely,1781,2021-09-18,Red,knockout,2109,1748,Blue
Arman Tsarukyan,1802,Christos Giagos,1969,2021-09-18,Red,knockout,2165,2069,Red
Ariane Lipski,1764,Mandy Bohm,1000,2021-09-18,Red,unanimous,1865,1097,Red
Ion Cutelaba,2173,Devin Clark,2283,2021-09-18,Red,unanimous,2275,2383,Red
Anthony Smith,2666,Ryan Spann,2741,2021-09-18,Red,submission,2768,2841,Red
Molly McCann,1779,Ji Yeon Kim,1572,2021-09-04,Red,unanimous,1880,1673,Red
Dalcha Lungiambula,1597,Marc-Andre Barriault,1531,2021-09-04,Blue,unanimous,1579,1633,Blue
Julian Erosa,1318,Charles Jourdain,1943,2021-09-04,Red,submission,1421,2042,Blue
Jack Shore,1796,Liudvik Sholinian,1000,2021-09-04,Red,unanimous,1899,1098,Red
Tom Aspinall,2205,Serghei Spivac,2143,2021-09-04,Red,knockout,2455,2243,Red
Paddy Pimblett,1000,Luigi Vendramini,1537,2021-09-04,Red,knockout,1619,1292,Red
Alex Morono,2901,David Zawada,1476,2021-09-04,Red,unanimous,3002,1577,Red
Derek Brunson,3265,Darren Till,2652,2021-09-04,Red,submission,3366,2753,Blue
Modestas Bukauskas,1564,Khalil Rountree Jr.,1973,2021-09-04,Blue,knockout,1634,2074,Red
Alessio Di Chirico,2262,Abdul Razak Alhassan,2137,2021-08-28,Blue,knockout,2362,2239,Red
Mana Martinez,1000,Guido Cannetti,1772,2021-08-28,Red,split,1399,1872,Red
Jamall Emmers,1293,Pat Sabatini,1374,2021-08-28,Blue,submission,1255,1684,Red
JJ Aldrich,2115,Vanessa Demopoulos,1000,2021-08-28,Red,unanimous,2216,1101,Red
Dustin Jacoby,1726,Darren Stewart,2012,2021-08-28,Red,knockout,1829,2111,Red
Sam Alvey,3699,Wellington Turman,1356,2021-08-28,Blue,split,3799,1458,Blue
Makhmud Muradov,2182,Gerald Meerschaert,2983,2021-08-28,Blue,submission,2279,3084,Red
Andre Petroski,1000,Micheal Gillmore,1000,2021-08-28,Red,knockout,1372,830,Red
Kevin Lee,3047,Daniel Rodriguez,2183,2021-08-28,Blue,unanimous,3147,2285,Red
Ricky Turcios,1000,Brady Hiestand,1000,2021-08-28,Red,split,1252,950,Red
Bryan Battle,1000,Gilbert Urbina,1000,2021-08-28,Red,submission,1372,830,Red
Edson Barboza,3868,Giga Chikadze,1981,2021-08-28,Blue,knockout,3967,2084,Red
Austin Lingo,1151,Luis Saldana,1352,2021-08-21,Red,unanimous,1405,1224,Blue
Sasha Palatnikov,999,Ramiz Brahimaj,1101,2021-08-21,Blue,submission,971,1396,Blue
Roosevelt Roberts,2353,Ignacio Bahamondes,1101,2021-08-21,Blue,knockout,2452,1743,Red
William Knight,1205,Fabio Cherant,1099,2021-08-21,Red,knockout,1433,1009,Red
Bea Malecki,1645,Josiane Nunes,1000,2021-08-21,Blue,knockout,1393,1630,Red
Brian Kelleher,2868,Domingo Pilarte,946,2021-08-21,Red,unanimous,2969,1047,Red
Clay Guida,3577,Mark Madsen,1557,2021-08-21,Blue,split,3677,1859,Blue
Alexandre Pantoja,2848,Brandon Royval,2099,2021-08-21,Red,submission,2949,2195,Red
Vinc Pichel,2179,Austin Hubbard,1678,2021-08-21,Red,unanimous,2280,1779,Red
Trevin Jones,1921,Saidyokub Kakhramonov,1000,2021-08-21,Blue,submission,1662,1640,Red
Parker Porter,1150,Chase Sherman,1946,2021-08-21,Red,unanimous,1450,2046,Blue
Jared Cannonier,2398,Kelvin Gastelum,3660,2021-08-21,Red,unanimous,2500,3760,Red
Vince Morales,1359,Drako Rodriguez,959,2021-08-07,Red,unanimous,1460,1033,Even
Johnny Munoz,950,Jamey Simmons,1095,2021-08-07,Red,submission,1429,818,Red
